Categoría: Religión y creencias

Semana,Oración: (Alemania)
2018-12-30,54
2019-01-06,59
2019-01-13,62
2019-01-20,63
2019-01-27,59
2019-02-03,60
2019-02-10,61
2019-02-17,57
2019-02-24,58
2019-03-03,65
2019-03-10,66
2019-03-17,63
2019-03-24,64
2019-03-31,71
2019-04-07,60
2019-04-14,69
2019-04-21,58
2019-04-28,58
2019-05-05,100
2019-05-12,67
2019-05-19,67
2019-05-26,74
2019-06-02,60
2019-06-09,53
2019-06-16,53
2019-06-23,50
2019-06-30,49
2019-07-07,51
2019-07-14,52
2019-07-21,53
2019-07-28,51
2019-08-04,53
2019-08-11,51
2019-08-18,52
2019-08-25,53
2019-09-01,52
2019-09-08,53
2019-09-15,57
2019-09-22,60
2019-09-29,55
2019-10-06,61
2019-10-13,58
2019-10-20,58
2019-10-27,58
2019-11-03,62
2019-11-10,60
2019-11-17,58
2019-11-24,56
2019-12-01,60
2019-12-08,57
2019-12-15,57
2019-12-22,62
2019-12-29,57
2020-01-05,62
2020-01-12,59
2020-01-19,62
2020-01-26,65
2020-02-02,60
2020-02-09,58
2020-02-16,60
2020-02-23,67
2020-03-01,65
2020-03-08,59
2020-03-15,87
2020-03-22,96
2020-03-29,84
2020-04-05,95
